Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
vo bandi jis k sath hua ...vo evnging k tym pe waha k flyover k niche se aa rahi thi n ...tabhi kisi bande ne phiche se attack kiya ...n vo ladki chilayi bht zor se ....tab vaha luckily kuch street pe rahne wale log ane alge .... but tab tak dheka to vo bhag gaya,0,0,1
The area gets pretty lonely at night and men come to smoke there and they keep staring at anyone who walks by.,1,0,0
A man of 40 years defiled a ten years old girl after convincing her that it is normal and it feels nice to be touched in the private parts,0,0,0
"While walking, guys keep touching you from behind. Its very uncomfortable!",0,0,1
my sister is insane.  There is a man who has been taking advantage of her situation and rape her and she is now HIV,0,0,0
"During evening , there were continuous comments .",1,0,0
"happened to a girl on a crowded bus, she was touched inappropriately",0,0,1
A guy was staring continuously at me.,0,0,0
while I went for a walk with my friends near my home a person came from his bike and tried to touch me at wrong places.,0,0,1
Took place during afternoon. A group of guys were staring and gesturing rude and vulgar expressions.,0,1,0
"Sexual invites, passing lure comments.",1,1,0
"I was walking with my friend around 910 p.m. on North Main road, both of us covering our upper bodies with a scarf since it was cold.A bike slowed down and touched my friend's breast, accelerated and stopped a bit ahead to look at his victim's face (gross), not enough for me to catch him (even though I tried and started shouting at him).",0,0,1
whistling while walking alone at evening,0,0,0
This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,1,1,1
I was alone in the road. One man was standing in the road and staring at me. I was so afraid.,0,0,0
Eve teasing on the blue line metro (Rajouri Garden),0,0,0
it was when i was returning home from school some boys on the street stare at me and started to commenting and whistling they also make wired facial expression which was scary,1,1,0
"while i was waiting for my bus at the busstop, two people were staring at me.",0,0,0
They were on the bike and i was on the rickshaw going back home and they looked and commented on me badly,1,0,0
few months ago few boys blocked my way while i was returning home and whistles at me.,0,0,0
I was in school and walking to class when a boy grabbed my hand and I had to stop and he told me I had an amazing body he would pay for it,1,0,1
I usually travel at night by metro amp these guys keep comenting amp starts whistling. I ignore,1,1,0
pinched in a breast in goverment office,0,0,1
a guy stopped his car and commented,1,1,0
misbehaved,1,1,0
"This incident took place in Govindpuri, kalkaji lane no. 5. I was in the market in the afternoon wherein I noticed that a few boys were harassing a girl. They took her hand and then started singing songs.They were also using some inappropriate words. When one boy questioned them, these boys started beating him.Its been a month.",0,0,0
it waj happen to my friend .when she was travelling on the bus.,0,0,1
Two girls were travelling in rickshaw and two boys on a bike were whistling and looking at them.It happened in the evening.,0,0,0
a liftman was looking at me in the elevator and i didnt like the way he was starring,0,1,0
"Age 16 yearsType of harassmentStalking at Choglamsar (Leh) (evening)Catcalls at Choglamsar, Leh market and school in Leh (eveningday time)Commenting at school and Leh market (day time)Touching at school (day time)Sexual invites at Choglamsar (evening)Others asking for phone number (day time)",1,0,1
Being a student she sometimes doesn't feel safe.,0,1,0
This incident took place at the metro station in the afternoon.I was going to my home and some boys started commenting.,1,0,0
a man was beating his wife as the children watched.It was quite a disturbing scene for the the children,0,0,0
"i was walking 200 mts from where i stay, at 9 pm, in Dollars Layout , J P Nagar 4th phase and a man on a bike wearing a helmet hit me on my behind (spanked me) and then groped me in the chest and sped off. since it was raining that day , i could not catch his bike number properly or the make.similarly there are always guys around who are doing stuff like this in my locality since my roommate faced a similar problem at 8 pm.there are men who pass snide and chep coments when u walk these streets even at 6 pm when u visit the superstore.my friend told a police van doing rounds one day , but the security is still very lax.something should be done. we feel unsafe to step out after dark. and who knows if it happens during the day ? now its just groping, some day it might get worse.",1,1,1
happened in evening,0,0,0
Some people drunked tried to molest me. These people were of slum areas and mainly they were youth. There were 6 in number and one of them was shockingly a Teen as well.Please stop this or unless Many of us would even think twice while going out of our homes.,0,0,1
I heard the news of girl been raped. i knew that girl and was known that she was been harassed but she went quite and didn't shared to anyone and finally the day came when she got raped on her own room by her own uncle. it was very depressing news.,0,0,0
"A friend of mine has been sexually harassed by a guy in my quarter.She was raped simply because the guy asked her out and she refused so the guy was emabrassed and mocked by his friends for not getting the girl.So,he planned with his friends to rape the girl .She was badly injured and almost died.",0,0,0
"at Bhayandar station, my relative tried touching me inappropriately",0,0,1
"A friend of my brother visited us in the house but I was the only one at home so he sat down as usual .He started talking to me,next he started touching me .When I tried to resist him he started petting me .Luckily for me my younger brother came in and then he left .",0,1,0
commenting,1,0,0
I was in a shared autorickshaw. The person who was sitting next to me was trying to elbow me in the stomach. Later he tried to slide his hand under my thigh. I told him to take his hand away and sit in front.,1,1,1
One aunty was in a rickshaw Her chain was snatched by two guys on a bike. We tried chasing them in our car but were unable to.,0,0,0
I was in the Toi market and one of the hawkers grabbed my waist and the rest were just laughing. I did nothing but clicked,0,0,1
"My friend and I went to an occasion and she was tipsy that is she was drunk.I had been planning to have her either directly or indirectly.When she was way too drunk, I immediately committed a sin which was rape",0,0,0
My mother was followed and sexually harassed by a man when she took my dog out for a walk,1,1,0
Catcalls in the afternoon at kashmere gate metro station.,0,0,0
"A boy was harssed in the quarter by thieves because he won 500,000 frs in a parifoot game.In the course of harassing him, they almost killed him.",0,0,0
"At night, we went to see a movie,after that drunk people and many roadside vendors were commenting ,trying to touch. ANNOYING. we asked a policeman at bus stop.",1,1,1
"My husband was beating me infront of people because I refused to sleep with him at that morning, he was also abusing me badly touching my private parts infront of people.  Am stressed and embarrased a lot.",0,0,0
A man tried to become close to me inside a public bus and he even kept his hands in my thigh.,0,1,1
"A group of women when I was heading home with my girlfriend beamed and whisper to each other and one made a move towards me, poorly dressed ,with an open back dressed.",0,0,0
I was so much teased and pushed by gang of boys in the early morning.,1,1,0
I was going for my classes through the way of park and some group of boys were not letting me go ahead and were passing dirty comments and whistles,1,0,0
my sister was followed by two boys when she was returning home from school. they whistles and spoke bad words to her.,1,0,0
It was during afternoon hours that I underwent commenting,1,0,0
A drunk guy tried to harass in the moving local train.,1,1,1
I had gone to visit my cousin who stays there and at night when I arrived in that area some one followed me until I disappeared at a bent,0,0,0
Boy was abusing to girl,1,0,0
in night a boy was commenting,1,0,0
a friend of mine was sexually harassed at the beach,1,1,0
My friend was harassed in the evening around 6 months back. Someone held her hand.,0,0,0
it was night with low street light a boy whistle and follow me,0,0,0
once while i was returning from shopping i was alone on the subway i find a group of bikers on the way i feel so scared,0,0,0
a girl i know of was raped in a street at Murga Chowk. I have stopped going to that area alone.,0,0,0
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,1,0,0
teacher harasses girls by touching their private parts.,0,0,0
guys make inaaproprate expressions,0,1,0
"A man tried to touch me weirdly, i shouted at him and he ran away.",0,0,1
This boy was drunk and started misbehaving,0,0,1
"happened to a school girl when was returning home from school on a crowded bus , few men tried to touch her private parts",0,0,1
one day one girl was walking and two boys following her start teasing her. she was crying as she felt helpless but the boys didn't stop teasing her.,1,0,0
we were 4 of us waiting at the Bus stop for a particular bus. Something irked me that someone is watching us. I turned that side just to see a man  showing his private parts and smiling at me. Blood ran inside me with so much anger. I told my cousi who is elder to me.She just said avoid him we are helpless in the public.That man went on with his shame ful work .immediately our bus came and we board off.,0,0,0
misbehaved by a boy,1,0,0
Commenting,1,0,1
i was walking on my way and i saw two boys whistling and commenting to a girl who was walking alone in the street.,1,0,0
touching and groping,0,0,1
"once when i was going back my home from office, one person tried to touche me with his arms......",1,0,1
Some girls were teasing me and i felt uncomfortable,1,0,0
men sing vulgar songs and stare at me,0,1,0
I saw some boys teasing a girl about her make up and outfit. Later they made some inappropriate comments too.,1,0,0
Ogling in the morning at INA bus stand.,0,1,0
We are 4 members are use to go to office in MMTS  from Bharath nagar to Hitech city at 6.15 am. One idiot indecent fellow get in to ladies compartments and started indecent exposure. Now the problem was solved b'coz of the police protection of SCR.,0,0,0
i was touched by school boy.,0,0,1
"I was going to my institution by bus, suddenly a boy started touching and teasing me from the back. At first I ignored but after a limit I objected. These incidents happen many times on the bus.",0,0,1
This place is on the way of Mahila College and Girls High School. Girls are facing problem during crossing this place (Ashram Chowk).,1,1,1
Her uncle wanted to kiss her and promised to buy her anything that she needs,0,0,0
a man was starring at me while i was standing at the bus stop.,0,1,0
This incident took place in the evening around 630pm.some guys started following mt sister when she got off from her college bus and passed lewd comments.,1,0,0
i was walking on the street and these 2 guys on a cycle ride passed. one of them whistles and the other starts singing a song. i was with my cousin sister walking on the road.,1,0,0
Commenting,1,0,0
"Was followed by man on bike, while I was walking home from bus stop.",0,0,0
Harassed at Kurla station,1,1,0
i had come to my school (gyan kendra)to submit some project and around noon i left. i started walking back to my house and this guy was constantly staring at me till i reached my place. i entered a wrong building and stood there for 5 mins so he would go and i can go back to my real destination,0,0,0
"I was coming back from station. There was a guy who used to sit at a specific spot and whenever a girl passed by, he used to urinate facing towards the girl.",0,0,0
sexual invites,1,1,0
My computer teacher was touching me inappropriately. It happens very often.,0,0,1
commenting by a group of guys near GK 1 in the evening while i was with my friend.,1,0,0
Staring,0,1,0
i went to have momos and it was really bad experience where a guy was scolding a girl very badly with very cheap words,1,0,0
very cheap comments about my body were passed,1,0,0
3 of my friends were coming to my home. On the way they were teased and followed till my home.,1,0,0
a chain snatching happened and eve teasing,1,1,0
this happens every now and then..there is always a group of boys hanging out in our locality calling out names and singing..they sometimes follow us till the bustop,0,0,0
purse snatching by bikers,0,0,0
"my friend and i were in the shukar bazaar for some shopping. a man approached my friend and started forcing her to go with him. a shopkeeper came to our rescue. this happened in the afternoon, most other people just stood there and laughed at us and told us that we girls deserve this",0,0,1
while i was travelling to Tokha to visit my aunt i was staled by a middle aged man he seems so weird  and alchoholic,0,0,0
once while travelling in a rickshaw i noticed the rick wala glaring at me now and then which was disturbing.,0,1,0
it happened in afternoon,1,0,0
I was going my home after finishing class. There were some boys who passed comments and whistled me while passing through them.,1,0,0
"I was stared at in a dirty way, as well as some comments were passed",1,1,0
"I was at 247, 2 men on a bike catcalled at me",0,0,0
a man was leering at me when i was getting back from my tutions. it was late and dark but i can never forget his dirty stares.,0,1,0
a drunk man tried to touch my breasts out of nowhere when I was on the riksha,0,0,1
"It was my first day in Bangalore(after spending 4 years in Delhi). My kitchen was not yet set up hence we(me and my male friend) went out for dinner to a restaurant which was located at a very central area. At about 1030PM, we were done with our dinner and while heading towards my car which was parked about 500 meters from the restaurant, four men(looked like in their forties) started calling me out, saying 'excuse me', on turning towards them, they started teasing me, passing comments like 'miss you', 'hello' and all. My friend got furious with them but I somehow managed to convince him to get into the car and  We chose not to react. However, my friend asked me to stay inside the car and went out to note down their car number. These men seemed to notice him note down their car number, and after a while, they started man handling him. Fortunately I had a 'Naga chilly spray' with me. I took that out, ran towards them and managed to knock out three of them with the same. The fourth man got hold of my hand and pushed me down the road, and I hit my head. The saddest part was that people around were watching as if there is a drama being played on the road. Nobody came for help. While my friend was busy at the other end trying to fight with the rest of them, I saw one of the men take out iron rods from their car dickey. I pulled my friend telling him no one is gonna come for help and we will not be able to help ourselves either. We ran towards the car and immediately went inside. On turning the car to take a Uturn, two or three of them came running towards us with the intention to hit us, but since we were already inside, they smashed all sides of my car glasses. We rushed to the nearest police station asking for help. On showing them their car number(which my friend luckily noted down), the police personnel hesitated to file an FIR(As per our understanding, they seemed to be local/political goons residing in the same area. We left my car at the police station for the night, returned home at about 3AM in the morning and again went back to the police station for filing the FIR. After repeated failed request, we had to use my friend's position(he is in the army), we spoke to the head of that police station and filed the FIR. I was totally devastated from inside and wanted to leave Bangalore the very day. I cried the whole night and asked my friend to drop me home, maybe for a month, or two, or maybe forever, but I woke up the next day, and decided to fight this out. Being a woman living alone in the city, with 'different' looks and a car that these people can easily identify, I didn't want to get into the mess of making rounds at the police station, and court case(my friend also had to leave for work in few days), I decided to take back the FIR but also stay back in Bangalore and move on. We looked for a new house the very same day and I moved to a farther and safer house. It may be a question on someone's head as to why I withdrew the FIR and didn't try to punish those culprits. But we all know that the country that we live in. Even murderers are set free from punishment, leave aside eve teasers and people who made injury to us physically and damaged our property. This is a story, not only because I want to share one, but it shows how our own country has failed to protect its own citizens, a story of the faith that a woman doesn't have in her country's governing authority, a story that shows how we humans lag in being a helping hand when others are in need(yes, there were families watching the incident), a story to tell, that no matter how much hatred the world puts into you, you still need to have a love for humanity, a story, hoping that we(women) shall overcome from all these pain one day.....",0,0,0
"I was in Nainital with my family, where a man was sitting on the bench and he pulled his chain down to show me his internal parts.",0,0,0
This incident took place at my hotel(P.G).I was in a deep sleep and all of a sudden I woke up early in the morning at 630.I caught one of the working male staffs in my room pulling my night suit and then I called the owner to get him out of the hostel.,0,0,1
I was sent to the shop to buy cigarettes wehen a man came and touched my breasts as I was at the shop.,0,0,1
Man whistled at me and then followed me,0,0,1
"the entire stretch, a little ahead of movie time theatre,ramchandra lane extension is very unsafe due to absence of street lights. The entire road is too dark and the filled with potholes. Adding to it is the presence of a liquor shop and a cigaratte shop in the lane attracting young boys who sit and drink till late nights. The lane also has a slum settlement making things worse.The slum dwellers add to the unsafety of the road.",0,0,0
Some street boys harrassed my neighbour while she was out at night to buy vegetables.,1,0,0
"was walking passed the railway bridge to Kambi muru and a man whistled at me twice. I did not respond and he shouted quotthe lady in purple you have nice legs, I admire you to be my wifequot",1,0,0
touching with bad intention,1,0,1
harassment happens everywhere,0,1,1
"I was crossing by the satya bridge, a boy called up and was masturbating and as sexually inviting",1,0,0
When i was returning from my college one old guy whistles at me near a poolchowk and did a facial expression which was very unusal.,0,1,0
one boy came to me asked me for money and i refused him then he started touching my leg and blocked my way.,0,0,0
Commenting on girls in the afternoon.,1,0,0
Harassed at Borivali,0,0,1
Age 15 yearsCatcallsWhistles at Leh market,0,0,0
poor street lighting,0,1,0
Girl was molested by boys,1,0,1
it was in our school bus when me and my friend went to submit the assignment to teacher after school as she uses the school bus to go home there the conductor uses bad words and started teasing us than we complain it with our teacher,1,0,0
I was on my way home when some boys on bikes tried to touch me. they were following me and tried to snatch my purse.,0,0,1
my sister was stalked by two boys on her way to the tuition in the evening. the street lights were not working so she could not see who they were but it scared her. now i drop her.,1,0,0
Molestation,0,0,0
group of guys commenting and hooting,1,0,0
This incident took place in the night around 6 months back. It was Muharram and a man touched my friend on her private part and went away.It happened in front of the mosque.,0,0,0
"Today while i got into a crowded bus, a man tried to grope me. through out the day i just kept thinking, y didn't i react to the situation.",0,0,1
sexual invites on 8th feb 2014 in the evening.,0,0,0
"Car following the girl and inviting her with illicit comments and for indecent acts,",1,1,0
I was riding a scooty. Two men in two bikes followed me in scooty and teased from disturbing be to ride.,1,0,0
i was standing on bus stand and i saw two guys clicking my pictures,0,0,0
a group of men seated outside a bar was calling a young woman quotdarlingquot as she was passing by.the girl had a Tshirt on written (darling),1,0,0
a group of guys tried to touch me in inappropriate way.,0,0,1
Chain snatching of a resident of Delhi Police Appartments.,0,1,1
ass was pinched,0,0,1
"I was travelling in the train with my family in the general compartment. There was no place to sit. A guy besides me started touching me on the waist and then tickling . I first thought of shouting but then switched places with dad.This happened in the local train, general compartment, Mumbai",0,0,1
a man came closer to me and touched my thigh slowly while i was traveling in a bus. i then suddenly changed the seat.,0,0,1
"This incident occurred years ago and I faced a number of harassment after that too but this is the one which affected me the most. So I thought I should share this and let people beware of their friends (girl) too.This was on a trip to the local Medical College for an exhibition. We were returning after a very good day in a overcrowded bus. A guy started eveteasing me, all sorts of comments. He managed to get a sit next to me and I was cornered. He did not allow the bus conductor to come and take ticket from me. While all this was happening he was insisting on knowing my name. One of my good friends who is now a doctor and a faculty in a premiere institute reveal my name and other details to me. Till date I failed to understand whether she did not understand what she was doing (naive???) or she  did it on purpose (we were competitors in school). Ultimately my torture came to an end by a quick stop at the police station. My friend only laughed when I asked her the justification of her actions. Time has passed by... and I am Mother now. I tell my kids to beware of human predators in the world but how will I warn them of friends trying to cause harm to you.Anybody reading this just one message BEWARE OF YOUR GIRL FRIENDS ALSO!!!!!",0,0,0
ladkiyo pe comment pass kiya jata h. ladkiyo k travelling me problem hoti h,1,1,0
"in the morning, when i was coming in the bus one uncle put his hand on the lap of one lady. that lady turned red becoz of shame but couldn't take any action.",0,0,1
My sister had been to botanical garden with her friends. There two guys proposed her and forced her to accept the proposal.,0,0,0
touching and groping,0,0,1
some boys were toouching and commenting a girl,0,0,1
touching a girl walking along the road,0,0,1
a man on bike hit me on my butt and fled,0,0,1
a person snatched my bag when i was returning from coaching.,0,0,0
Trains  Boys pass cheap comments.,0,1,1
"my boyfriend lied to me that having sex while standing would not make me pregnant,I refused but he forced himself on me",0,0,0
men took picures of me without my consent.,0,0,0
The incident happened outside BEL township.My friend and I were on a bike and talking to one of our college friend outside her home in bel township when a taxi stopped by. It was a pearl white Tata Indica Vista (KA.03.AA.5562). The driver started teasing our friend and started abusing us too when we looked at him. He intended to pick a fight on road. But we chose to quietly note his vehicle number down and report. He had two others in his car. After the incident he went ahead towards Yeshwanthpur and proceeded towards Metro.,1,1,0
taking pictures vikaspuri,0,0,0
"Gangs of boys loitering outside the station and on platform, passing comments",1,1,0
"When I was going to new Baneshwor, I was touched unnecessary by stranger.",0,0,1
"It happened when a girl dropped down from a bus.On reaching down,she was called by two boys to come and greet one of the boys.The other boy asked ,have you greeted that boy?, and tells the girl her private part will disappear because she greeted the boy if she does not follow the boy and beg him..The girl became afraid and the boy asked her to surender(give) all what she possesses to him.Her money,phone,chairs and bangles were collected.The girl started crying out for help but before people could come to her rescue,the boys had excaped.",0,0,0
"In my neighbor, there is a family where a husband beats his wife.",0,0,0
"I am not sure if this is a rumour or true. But in my institution, a girl accused our professor of molesting her when he had to return her id card back. She says she snatched her id card back and ran from there. She informed her friends and family and they complained.",0,0,0
a girl was walking in her own district park when she saw somebody clicking her pictures and she treid hiding her face but the boy still captured 2 to 3 pictures of her. she complained to an old man sitting in the park and his phone was taken away by the uncle and he was hit hard.,0,0,0
an elderly woman advanced sexually a young man and on refusing she reported him to police on a false claim of harrasement,0,0,0
It was during morning hours when I witnessed a lady chain being snatched by a guy who was on a bike . We did report to the police .,0,0,0
there is this boy who keeps following me at night asking me if he can escort me to the shop,0,0,0
as usual i was back to my hostel and some local guys called me chinese,1,0,0
"In the class, a boy tried to touch me inappropriately.",0,0,1
Using of medication like himalaya products like muscle relaxation oil which is ayurveda on private parts on revenge in 1995 by  mother' brother . Big issues.And fingering  by auto stand!,0,0,0
A minor person and my best friend raped me while he had invited me in his house when  I was 15.,0,0,0
commenting,1,0,1
in bus it happened.,1,0,0
i feel that i was once sexually harassed. it was a incident of almost 4 month back i was walking on the alley some boys teased me and commented me with very bad and rough words and they even stalked me and stared touching here and there i was too scary moment which i never could forget finally i manages to escape out from that hell,1,1,1
Followed by some men,0,0,0
"Guy showed me his penis at a bus stop. I didn't utter a word, was so scared amp kept eagerly waiting for a bus to come and this place itself is so very deserted.",0,0,0
i was going to my tution class and a guy standing on the road was staring and he passed a bad comment on me,1,0,0
harassment,0,0,0
"facial expression, touching etc by the gang of boys.",1,1,1
There are some unsafe hotels in mussorie who attract people by their cheap rates and then harrase them,0,0,0
"some occasions like JATRASindecent exposure, touching especially groping happens to woman in a mass from people with bad intentions.",0,0,1
i was followed by a guy,0,0,0
I was walking from school a certain man told me that I am beautiful he wants to marry me in future,1,0,0
touching,0,0,1
"While walking on the road, 2 boys started commenting and throwing chits with their phone number written.",0,0,0
campagin against removal of black film for vehicles forgotten by all alert govt public about using of black film curtains to buses etc,0,0,0
I was stalked when I was walking alone in Changspa street,0,0,0
ogling and commenting,1,1,0
there was a woman who was drunk late at night. She was screaming for help but people just assumed thinking its because she was drunk but actually she was being raped by 6men,0,0,0
"my bag,wallet was snatched at evening time.",0,0,0
whenever i go somewhere in a decent dress up people give whistles and i feel so embarassesd,0,0,0
"after a man being caught by his wife cheating,he got hold of the wife and beat her up leaving her bleeding and taking off with the other woman",0,0,0
"Blocks way, makes suggestive beckonng gesture. We put heads down and walk around him, beause he is way larger and stronger. We cross the road, then stop and debate from a safe distance how and where to report him because he is in UNIFORM and not exoected to be a threat, so it's doubly threatening. Cant think of a solution, only of what we SHOULD have said, and we failed.",0,0,0
it was really bad.,1,0,1
Harassed in the afternoon,0,1,0
Groping,0,0,1
"Commenting, catcall, whistles",1,0,0
An old man was trying touching my friend again and again until finally I rebuked the person . It happened during the morning hours .,0,0,1
staring me like never seen a girl before,0,0,0
a man touched me inappropriately on the bus,0,0,1
touching and groping in public buses,0,0,1
"There this guy who was persistently chatting me up but i refused his advances.One day on my way back from school i met this guy at Mile 2 Nkwen,Bamenda.He stopped me and said ,he needed to talk to me.I  was really tired and needed to go back home.He held me by force with his arms and rufused to let me go.I pleased to no avail but he won't let me go.So i finally i saw two of my males friends who were from eating .I called out for them.When i did this guy who grabbed me, freed me and i left with my other two male friends.",0,0,1
"During evening , there was indecent touching and groping .",0,0,1
I was sitting at window seat in a bus a boy then thrown a balloon on me,0,0,0
i was standing with my sister at the bus stop waiting for bus and two guys came in car and was actually inviting us in their car and was lewd comments.,1,0,0
"when i was returning home from  my sister's home i faced with gang of boys, they started whistling and commenting on me i just stared at them and took my own way to home in rush",1,0,0
i was going to buy vegetables near the main road petrol pump and had to cross an area where trucks are parked. Men were drunk there and misbehaved with me. they tried to grope me. i screamed and few people came to my rescue.,0,0,1
"At a railway station 2 years ago, It was very crowded and there was an uncle who touched me from behind.",0,0,1
I was at the mela in mount mary when a man approached me from behind and touched me wrongly. He said he did this because it was crowded and it happened by mistake. He was lying,0,0,1
I was waiting for a bus on my way to college and a man came close to me and touched my breast and started saying your breast are beautiful,0,0,1
walking on the railways station.the man brushed against me when there was a lot of space to walk.,0,0,1
3 boys followed me on my way to college.,0,0,0
"This incident took place in the evening.There was a girl walking and a man suddenly came out of the construction barrier of metro.Hhe tried to hold her but since there was red light and many cars were there,he was not able to do that.",0,0,0
I was walking when i saw someone stalking me.,0,0,0
i was late from my friend's home to my home on the way some boys threw pebbles and teases me.,1,0,0
no street lighting,0,1,0
This incident took Place on 21st November 2012 around 6 in the evening.Two men standing at a post were whistling and passing comments.,1,0,0
My friend was travelling by the metro when a stranger held her hand.,0,0,1
teased by a boy,0,0,1
some guys were commenting and making inappropriate expression inside the metro,1,0,0
"Commenting, catcall, whistles,ogling, facial expressions",1,1,0
"Two or three guys on white colord Activa followed my friend who was on rickshaw. They tried to snatch the phn but my friend tried to save himself nd his phn, they run away. this ws really dangerous and they might have some weapons too. please look into the matter asap.",0,0,0
a lady was asking for her change in a matatu when the tout refused to give her back her money as he arguedthat the lady didnt knw how he worked and so shouldnot start teaching him how to do his job.it took the intervention of other passengers for the woman to get back her money,0,0,0
"It was during my school days ,that I was mentally tortured and threatened .",0,0,1
A young boy took pictures when i was walking,0,0,0
The guy was whistling me and calling me to get physically involved with him.,0,0,0
"on morning, 2 men beat a 1314 years old boy very badly, its cycle get touched to their bike",0,0,0
i was walking down to this cafe along with my friend and a guy started singing some tacky bollywood song pointing towards us,1,0,0
harassment,0,1,1
An old man try to touch a young girl..........,0,0,1
"while i was heading towards college, a married man sat to me touches my sensitive organs of my body. initially i ignore it but as he action repeats i asked him to stop it.",1,0,1
A BO AND HIS FRIENDS ALWAYS STALK ME PASS COMMENTS AS quotBHABHIquot AND ITS REALLY VERY ANNOYING.,1,0,0
teacher beating students,0,0,0
my friend was waiting for her bus on the stop and there was one more man standing with her whom she didn't know. this man was giving some discomforting facial expressions which could not be tolerated by my friend she couldn't do anything so she left.,0,1,0
harassment,1,0,0
"I was literally less than a block from my house just now (7pm), walking slightly slower than normal which attracted a couple looks, and this young guy just came up from behind (didnt see him coming) and slapped/grabbed my butt and then sprinted away in the opposite direction. It was jarring, especially cuz its 7pm , close to my house, and no one blinked an eye (mainly lower income men close to me at the time)...shiver",0,1,1
a friend of ours was being stalked by 2 men for days at a stretch. she told us about it that she is scared to confront them and keeps ignoring. we told her to react before things go out of hand.,0,0,0
Commenting in the evening.,1,0,0
Groping with inappropriate comments.,1,0,1
random sardars in the metro tried to molest me,0,0,1
Two boys on the bike snatched the chain from a girl at uttam nagar metro station.This incident took place on 1st september 2013.,0,0,0
"When I was walking to my home a truck passed slowly by my side then a guy inside the truck made weird face,, whistled and commented me quotaunt get off the wayquot",1,1,0
taking pictures of girls and passing such abusive comments,1,0,0
"two young ladies were crossing the road from toi market on their way towards kibra law courts and some men commented and said that, quotthese ones need a penisquot",1,0,0
Commenting and staring in the area in the evening.,1,1,0
Once I was walking down a lonely street when a guy was making filthy gestures and invited me sexually . It happened during night .,1,0,0
evening,1,0,0
Some boys were passing comments for my chinky look.,1,1,0
"During morning , I was in the metro and a man was constantly looking at me , ogling and facial expressions .",0,1,0
Creepy people try to follow at dark.,0,0,0
"Catcalls Commenting and bad facial expressions, taking pictures, indecent exposure, sexual invites",1,1,1
"During evening , my pictures were being taken , I confronted the guy and then he deleted it .",0,0,0
a police officer commented on me,1,0,0
A lady was in the cycle rickshaw. She asked some boys for directions and they snatched her chain.,0,0,0
i was coming back after visiting a friends place near dana paani beech few boys started whistling singing songs which made me highly uncomfortable,1,1,0
"his incident happened to me at the Taj Land's End coffee shop. I was meeting the Founder of Save Life Foundation in the evening and we were in the midst of a serious discussion when a man came up to us and first wished my colleague. Then he turned to me and said something to the effect  This guy is fking you real good.Before I could react, he had disappeared. We called the waiter and asked how such a thing could happen at a 5 star hotel which is assumed to be a quotsafequot space. They claimed he was drunk and was hanging around for a while.I am in conversation with the hotel in question to find out more about their procedures and preemptive measures when patrons are drunk as well as finding out the identity of the guy.But it raises questions that we need to be alert at all times. Street harassment seems to be moving indoors. It could have been more serious as if the person had decided to physically assault he had access to cutlery.",1,0,0
A guy on the DTC bus was intentionally touching me over and over again.,0,0,1
I was groped at Bandra station by an old man. It seemed intentional.,0,0,1
chain snatching incident. couple of guys on bike snatched the necklace of a woman standing across the street,0,0,0
I visited this place to see for relatives in night and it was so unsafe there.,0,0,0
Aboy forced me to kiss his penis but I refused and ran off,0,0,0
i once was trying to get a rick from ghansoli gaon and it was becoming difficult around 7pm since more of these gaon people would roam especially men making any woan uncomfortable.,0,1,0
I was on a scooty (alone) when two boys on a motorbike groped me. They started laughing when I screamed and drove as fast as they could. I was in shock that this could happen in Aligarh and could not note down the bike number.,0,0,1
I was going to toi market when I came across a man who hit me with his shoulders and then raised his eyebrows at me and winked. I was so pissed,0,1,0
"One of the seniors came to us on our second day of college with his group , and started abusing us without any reason .",1,0,0
a girl was being harrassed by a group of man and she was not able to say anything,1,1,0
Some guys misbehaved  with me,1,1,0
"He was stalking and driving alongside, he was asking personal info like name, no., home, etc.",1,0,0
Two bikers snatched the chain of a lady near the Jnakpuri metro station.It happened in the morning.,0,0,0
"I have felt unnecessary touching around private organs several time in public vehicle of this area. So, I feel uneasy in public vehicle.",1,0,1
"one night, when i was sleeping i got a phone call. it was around 1230 pm. i got frightened but i received the call thinking it might  be some sort of emergency or urgent calls but after receiving the call i came to know that its a bluff call as one man was talking and he wants to know more about me. i hung up the phe but he was continuously calling me n he disturbed my whole night",0,0,0
I DON'T HAVE FACE ANY SUCH . BUT MY FRIEND WAS THERE DUE TO SOME WORK AND HAD A VERY BAD EXPERIENCE,0,0,0
teachers have bad intension to the students and touches us and sit in our benches,0,0,1
"two men in the parking lot kept staring at me when i was going towards my car. they kept ogling me and it made me really uncomfortable, i glared back but they just giggled.",0,1,0
sexual invites and hooting,0,0,0
"once, there was a girl relative who was her own uncle. at night, the girl's uncle was touching her, as girl was asleep and small to take action but the meantime her mother entered the room and saw those activity done by his in law. she didn't care about the society and filled complain against him and in this way she saved her daughter.",0,0,1
teasing while going to school and while coming back from school from the local boys of bhatbhateni area,1,0,0
"On the name of conducting a survey, few guys were touching girls in an indecent manner. (North Campus outside Metro Station)",0,0,1
"Commenting in Khayala, New Delhi18",1,0,0
Girl was with her boyfriend and was continuously crying and the guy was hurting her hand badly.It happened in the evening,0,0,1
I was ogled at while I was travelling in a bus.,0,1,0
